iter	Passed	Remaining
0	2	2771
1	5	2971
2	8	2879
3	15	3920
4	18	3622
5	20	3393
6	23	3271
7	25	3126
8	27	3008
9	29	2924
10	31	2835
11	34	2818
12	36	2786
13	40	2820
14	42	2799
15	46	2845
16	49	2870
17	52	2884
18	55	2890
19	59	2904
20	63	2937
21	67	2993
22	70	2988
23	73	2997
24	76	2997
25	79	2980
26	83	3000
27	86	2999
28	89	2994
29	92	2985
30	96	3000
31	99	2996
32	102	2996
33	105	2985
34	108	2985
35	111	2982
36	114	2978
37	116	2951
38	118	2925
39	121	2909
40	123	2886
41	125	2865
42	127	2845
43	129	2816
44	131	2788
45	133	2761
46	135	2746
47	137	2722
48	139	2697
49	140	2674
50	142	2656
51	144	2633
52	146	2611
53	148	2596
54	149	2576
55	151	2557
56	153	2538
57	155	2528
58	157	2513
59	159	2496
60	161	2479
61	163	2466
62	164	2451
63	166	2436
64	168	2423
65	170	2408
66	171	2393
67	173	2379
68	175	2369
69	177	2356
70	179	2344
71	180	2332
72	182	2322
73	184	2310
74	186	2298
75	188	2286
76	190	2277
77	191	2266
78	193	2255
79	195	2248
80	197	2238
81	199	2228
82	200	2218
83	202	2210
84	204	2200
85	206	2190
86	207	2181
87	209	2175
88	211	2166
89	213	2157
90	215	2153
91	217	2145
92	219	2137
93	220	2128
94	222	2123
95	224	2115
96	226	2108
97	228	2100
98	230	2097
99	232	2090
100	234	2082
101	236	2078
102	237	2071
103	239	2063
104	241	2055
105	243	2051
106	245	2045
107	246	2039
108	248	2034
109	250	2029
110	252	2022
111	254	2015
112	256	2012
113	258	2006
114	259	2000
115	261	1995
116	264	1994
117	265	1988
118	267	1982
119	269	1979
120	271	1973
121	273	1967
122	275	1962
123	277	1959
124	279	1954
125	280	1948
126	283	1945
127	284	1940
128	286	1935
129	288	1929
130	290	1927
131	292	1922
132	294	1917
133	295	1911
134	297	1908
135	299	1903
136	301	1898
137	303	1895
138	305	1891
139	307	1886
140	308	1881
141	310	1878
142	312	1873
143	314	1868
144	316	1864
145	318	1862
146	320	1857
147	322	1853
148	324	1852
149	326	1849
150	328	1844
151	329	1840
152	331	1837
153	333	1833
154	335	1829
155	337	1826
156	339	1822
157	341	1817
158	342	1812
159	344	1810
160	346	1805
161	348	1801
162	349	1797
163	352	1794
164	353	1790
165	355	1786
166	357	1783
167	359	1778
168	360	1774
169	362	1769
170	364	1766
171	366	1762
172	367	1757
173	369	1753
174	371	1750
175	372	1746
176	374	1741
177	376	1737
178	378	1734
179	379	1730
180	381	1726
181	383	1723
182	385	1722
183	387	1718
184	389	1714
185	390	1710
186	392	1708
187	394	1704
188	396	1700
189	398	1697
190	399	1693
191	401	1689
192	403	1686
193	405	1683
194	406	1679
195	408	1676
196	410	1672
197	412	1670
198	414	1666
199	415	1663
200	417	1659
201	419	1657
202	421	1654
203	423	1650
204	424	1647
205	426	1644
206	428	1641
207	430	1637
208	432	1635
209	433	1631
210	435	1628
211	437	1624
212	438	1621
213	440	1618
214	442	1615
215	444	1612
216	446	1610
217	447	1606
218	449	1603
219	451	1600
220	453	1598
221	455	1594
222	456	1591
223	458	1588
224	460	1586
225	462	1582
226	463	1579
227	465	1577
228	467	1574
229	469	1570
230	470	1567
231	472	1565
232	474	1562
233	476	1559
234	478	1556
235	480	1554
236	481	1551
237	483	1548
238	485	1545
239	487	1543
240	489	1540
241	490	1537
242	492	1535
243	494	1532
244	496	1529
245	497	1526
246	499	1523
247	501	1520
248	503	1518
249	504	1514
250	506	1512
251	508	1509
252	510	1507
253	512	1504
254	514	1501
255	515	1498
256	517	1496
257	519	1494
258	521	1491
259	523	1488
260	524	1486
261	526	1483
262	528	1480
263	530	1478
264	531	1475
265	533	1473
266	534	1468
267	536	1465
268	538	1462
269	540	1460
270	541	1457
271	543	1454
272	545	1452
273	547	1449
274	548	1446
275	550	1444
276	552	1441
277	554	1439
278	555	1436
279	557	1433
280	559	1431
281	561	1428
282	562	1426
283	564	1423
284	566	1420
285	568	1418
286	569	1415
287	571	1413
288	573	1410
289	575	1408
290	577	1406
291	578	1403
292	580	1401
293	582	1398
