input;category
dor no abdomen é covid?;covid
Pego covid tocando numa objeto_contaminado;covid
Pego covid através de meio;covid
onde começou o covid;covid
onde coemçou a infestação do covid;covid
O vírus é transmitido através de meio;covid
O que significa covid;covid
comorbidade pode ser motivo para tomar vacina?;covid
COVID é uma família de vírus;covid
quais as vacinas disponíveis para covid;covid
criança pode se vacinar contra covid;covid
qual a melhor vacina;covid
as vacinas contra covid são seguras;covid
tenho que tomar quantas doses da vacina;covid
como prevenir o contagio;covid
covid começou na china;covid
covid é doença grave;covid
Covid é grave;covid
covid é o virus SARS-CoV-2;covid
Covid é um vírus grave;covid
covid é uma arma quimica;covid
Covid é uma doença grave;covid
covid é uma gripe forte;covid
covid foi criada em laboratorio;covid
covid vem do pangolim;covid
covid vem do morcego;covid
descreva covid;covid
fala do covid;covid
O que é COVID-19?;covid
O que quer dizer covid;covid
o que são os virus da família covid;covid
covid veio da china;covid
quais os virus comuns da família covid;covid
Qual a chance de pegar a forma severa da covid;covid
quais os virus mais comuns que infectam humanos;covid
quais os covid mais comuns;covid
Posso pegar covide não perceber;covid
pode me dizer o que é covid;covid
quais são os meios de transmissão da covid;covid
como pega covid;covid
como a covid é trasmitida;covid
como eu posso ser contaminado;covid
Como prevenir o covid;covid
Como prevenir;covid
Que exame comprova o covid?;covid
Como é o Diagnóstico do covid;covid
Como saber se tenho covid?;covid
Como saber se estou contaminado?;covid
Quais os sintomas da covid?;covid
O covid-19 pode reduzir o meu nível de CD4?;covid
Tenho HIV corro mais risco?;covid
Com HIV o covid-19 pode ser mais grave?;covid
Pessoas Com HIV correm mais riscos?;covid
a pandemia tem a cobertura de quais laboratórios para a contraprova da covid;covid
a pandemia tem a cobertura de quais laboratórios para o diagnostico da covid;covid
quais os laboratorios estão atuando na comprovação do diagnostico da covid;covid
Quais os laboratórios fazem os exames para a comprovação;covid
quais os laboratorios capacitados a realizar os exames para covid-19;covid
quais os laboratorios credenciados a realizar os exames para covid-19;covid
quais os laboratorios estão fazendo os exames para identificar o covid-19;covid
quais os laboratorios fazem o exame de comprovoção do covid-19;covid
meu teste vai para exame de comprovação em qual laboratorio;covid
Posso fabricar meu próprio álcool em gel?;covid
Como produzir álcool em gel?;covid
Como fazer álcool em gel caseiro?;covid
Receita álcool em gel OMS;covid
por onde começou a pandemia;covid
A OPAS ou a OMS divulgaram uma receita de gel pra fazer em casa?;covid
Minha oximetria está baixa;covid
Se eu ficar doente o que fazer?;covid
Estou me sentindo gripado o que faço?;covid
Estou com sintoma o que faço?;covid
Não estou sentido o cheiro das coisas;covid
Não estou sentindo o gosto das coisas;covid
Funcionário doente no trabalho;covid
O que posso fazer para evitar a propagação da COVID-19 no meu local de trabalho?;covid
Como se prevenir do coronavírus?;covid
Como evitar covid-19 no trabalho?;covid
Como não pegar covid-19 no trabalho?;covid
Como identificar que estou com covid;covid
Principais sintomas;covid
Onde pega covid;covid
Como pega covid;covid
Uma pessoa do meu trabalho foi diagnosticada com covid posso ter me contaminado;covid
Tive contato com um paciente de covid posso estar contaminado;covid
Conversei com uma pessoa com covid posso pegar;covid
Estou com sintoma é covid?;covid
Quais os principais sintomas da covid;covid
Que sintoma tem a covid;covid
Como posso saber se estou com covid;covid
Tive sintoma é covid;covid
Dinheiro transmite covid-19;covid
Dá pra pegar covid-19 pelo dinheiro;covid
posso pegar o virus no onibus / Uber / supermercado / padaria / açougue/ lotéricas / bancos / praças;covid
Se eu entrar num elevador depois de uma pessoa contaminada posso pega pelo ar;covid
posso pegar virus de conta de água luz condomínio;covid
posso pegar virus de embalagens dos correios;covid
se eu varrer (ou limpar) um ambiente contaminado posso pegar o virus da poeira levantada;covid
o tapete de meu carro pode conter virus e me contaminar;covid
ar condicionado pode provocar a contaminação do virus;covid
posso pegar covid em bebedouro de água no trabalho;covid
posso pegar covid pelos meus óculos sujos;covid
posso contrair covid na troca de curativos;covid
protejo sempre a boca com máscara posso pegar pelos olhos/ouvidos/feridas na pele;covid
posso pegar covid pela conversa com outra pessoa;covid
se minha máscara estiver úmida corro o risco de ser contagiado;covid
É possível pegar COVID-19 de uma pessoa que não apresenta sintomas;covid
Posso pegar COVID-19 de fezes de alguém com a doença;covid
Posso pegar coronavírus utilizando banheiro público;covid
Se eu abraçar meu filho ele pode pegar;covid
Posso pegar covid-19 colocando a mão no rosto;covid
Tossir pode transmitir covid-19;covid
Pegar covid-19 de assintomático;covid
Assintomático transmite covid-19;covid
minha parente tem covid-19 mas não tem sintoma;covid
Quem não tem sintomas pode transmitir covid-19;covid
As gotículas do espirro podem ficar em suspensão e contaminar quem passa;covid
Meu/minha parente tem covid-19 mas não tem sintoma;covid
Dá pra pegar covid-19 com moedas;covid
Dá pra pegar covid-19 por cédula;covid
Tive sintomas é coronavírus;covid
Como o vírus responsável pela COVID-19 se espalha;covid
Os coronavírus podem ser transmitidos de pessoa para pessoa;covid
Qual a distância segura para não ser contaminado;covid
Qual a distância mínima para não ser contaminado;covid
Que distância devo manter para não ser contaminado;covid
Como acontece a circulação do virus;covid
Como acontece a circulação do coronavírus;covid
recebi uma encomenda da china devo tomar cuidado;covid
É seguro receber um pacote de qualquer área em que a COVID-19 tenha sido notificada?;covid
É seguro comprar coisa da China?;covid
É seguro importar de países com covid-19?;covid
Minhas encomendas de área de risco via transportadoras pode vir contaminadas;covid
compras de área de risco pela internet pode vir contaminadas;covid
compras via e-commerce de área de risco pode chegar contaminadas;covid
minhas encomendas postais de área de risco pode ser contaminadas;covid
minhas encomendas de área infectadas via correios pode ser contaminadas;covid
entregas postais localidades de risco podem conter virus;covid
embalagens de sedex de produtos oriundos da china podem conter virus;covid
embalagens de sedex de produtos chineses podem estar contaminadas;covid
encomendas de produtos produzidos na china podem chegar com embalagens contaminadas;covid
Quem está em risco de desenvolver doenças graves?;covid
Fumantes e usuários de produtos de tabaco correm maior risco de infecção por covid?;covid
sou obeso COVID_risco_doenca_grave;covid
posso levar o virus pra dentro de casa após caminhada por espaço externo;covid
debaixo das minhas unhas posso portar o virus mesmo após uso do alcool gel;covid
meu cabelo pode manter o virus vivo ativo;covid
minhas pele manter o virus vivo ativo;covid
minhas roupas pode manter o virus vivo ativo;covid
Preciso higienizar sacolas plásticas do supermercado?;covid
Quanto tempo o virus sobrevive em objetos?;covid
Preciso limpar as embalagens de comida de delivery?;covid
Deixar a roupa no sol mata coronavírus?;covid
Preciso lavar as embalagens do mercado?;covid
Quanto tempo o vírus sobrevive em superfícies?;covid
O virus permanece em ambientes fechados por tempo indeterminado;covid
Se tocar as superfícies no ônibus corro risco de pegar covid-19?;covid
Toalha de rosto compartilhada pode passar covid-19?;covid
Devo lavar as roupas quando chegar em casa?;covid
As frutas e verduras podem estar infectadas?;covid
Os produtos do supermercado podem estar infectados?;covid
Preciso passar álcool gel na sacola do supermercado?;covid
posso levar o virus pra dentro de casa após tocar em espaço interno;covid
15 TIPO DE ESTABELECIMENTOS QUE PODEM UTILIZAR O SELO;seloturismo
como pega tuberculose;tuberculose
