input,category
Diante da quantidade limitada de vacinas qual é o objetivo da vacinação contra a COVID-19?,covid
Qual é a melhor vacina contra a COVID-19 desenvolvida?,covid
Considerando a rapidez com que as vacinas contra a COVID-19 foram desenvolvidas elas podem ser consideradas seguras?,covid
Se o gargalo está na produção há uma alternativa para aumentar a fabricação e reduzir a desigualdade no acesso às vacinas?,covid
As vacinas funcionarão contra as novas cepas do vírus?,covid
As vacinas previnem a doença sua forma grave hospitalização morte e transmissão?,covid
Por que a temperatura da vacina é tão importante?,covid
Quais são as diferentes maneiras que um país pode obter ou comprar vacinas?,covid
Quais consequências MSF teme ou prevê diante do impacto sobre outras campanhas de vacinação?,covid
Quanto tempo o coronavírus permanece ativo em diferentes superfícies?,covid
Existe algum canal direto com o Ministério da Saúde para tirar dúvidas sobre o novo coronavírus?,covid
É verdade que tem se estudado o uso do plasma sanguíneo de pacientes recuperados da Covid-19 no tratamento da doença?,covid
A azitromicina funciona no tratamento contra a Covid-19?,covid
O vírus que causa a doença Covid-19 está no ar?,covid
O que é período de incubação e qual o período de incubação do novo coronavírus?,covid
É possível se contaminar com o novo coronavírus por meio de aperto de mãos ou com beijos no rosto?,covid
Qualquer hospital pode receber paciente com coronavírus?,covid
O que significa quando meu teste dá positivo para IgM e/ou IgG?,covid
O que é a autorização para uso emergencial da vacina contra Covid-19?,covid
Quem precisa tomar a segunda dose de reforço da vacina contra a Covid-19?,covid
A minha filha precisa continuar usando máscara depois de tomar as duas doses da vacina?,covid
Quem deve continuar usando máscara?,covid
Quando e onde devo continuar usando máscara mesmo não sendo mais obrigatório?,covid
Quando o meu filho deve tomar a segunda dose da vacina contra a Covid-19?,covid
Se as crianças não têm sintomas graves de Covid-19 por que a minha filha precisa se vacinar?,covid
É verdade que a vacina contra a Covid-19 para crianças é experimental?,covid
O meu filho pode ter algum problema no futuro por ter tomado a vacina contra a Covid-19?,covid
Quantas doses meu filho precisa tomar para estar completamente protegido contra a Covid-19?,covid
O meu filho pode tomar a vacina contra a Covid-19 junto com outras vacinas?,covid
O meu filho testou positivo para a Covid-19. Ele pode se vacinar?,covid
A vacinação de crianças torna o retorno escolar mais seguro?,covid
Qual o risco da vacina contra a Covid-19 causar miocardite no meu filho?,covid
Crianças e adolescentes podem evoluir para formas graves da Covid-19?,covid
Eu tomei a vacina Covid-19 da Fiocruz (AstraZeneca) e estou com reações muito fortes. O que devo fazer?,covid
A vacina contra a Covid-19 também é segura para crianças?,covid
Estarei imunizada se na primeira dose eu tomar a vacina AstraZeneca produzida na Índia e na segunda dose tomar a AstraZeneca produzida no Brasil?,covid
Qual o procedimento deve ser seguido por quem deseja relatar um evento adverso após receber a vacina Covid-19 (recombinante)?,covid
Posso ter reações mais fortes ao tomar a vacina por já ter tido Covid-19?,covid
Posso tomar a segunda dose da vacina tendo testado positivo para a Covid-19?,covid
Devo tomar a segunda dose da vacina contra a Covid-19 da Fiocruz (AstraZeneca) se tive muita reação depois na primeira dose?,covid
Posso fazer um teste de anticorpos para saber se estou imunizado (protegido) contra a Covid-19 depois de tomar a vacina?,covid
Sou gestante e tomei a primeira dose da vacina Covid-19 da Fiocruz (AstraZeneca). Qual vacina devo tomar na segunda dose?,covid
Devo ficar isolado por quanto tempo se o meu teste PCR deu positivo?,covid
O que é Farmacovigilância?,covid
Por que o meu teste sorológico deu negativo se eu já tive Covid-19?,covid
Vejo muitas pessoas que fazem teste de farmácia e têm resultados errados. Por quê?,covid
Quanto tempo após a aplicação da vacina a pessoa desenvolve imunidade à Covid-19? Por quanto tempo fica imune?,covid
Existe algum risco de eu ser infectado pelo novo coronavírus por tomar a vacina Covid-19 da Fiocruz?,covid
Que reações posso ter depois de tomar a vacina Covid-19 da Fiocruz (AstraZeneca)?,covid
Quem não deve tomar a vacina AstraZeneca da Fiocruz?,covid
Como é aplicada a vacina Covid-19 da Fiocruz (AstraZeneca)?,covid
Por que a Fiocruz/Ministério da Saúde escolheu a vacina da Universidade de Oxford/AstraZeneca para ser produzida no Brasil?,covid
Posso continuar amamentando o meu filho mesmo estando com Covid-19?,covid
Qual a diferença entre isolamento vertical horizontal e lockdown?,covid
Animais domésticos podem contrair ou transmitir o novo coronavírus?,covid
Posso ter sintomas graves com a Covid-19?,covid
Qual a origem do novo coronavírus?,covid
Posso continuar transmitindo o vírus depois de ter tido Covid-19 e me recuperado?,covid
Posso usar qualquer remédio se tiver sintomas da Covid-19?,covid
O Ministério da Saúde tem uma plataforma para acompanhamento em tempo real da epidemia do novo coronavírus?,covid
Como o coronavírus é transmitido?,covid
Como se prevenir contra o coronavírus?,covid
Qual é a recomendação para quem suspeite que pode estar com Covid-19?,covid
Moro em uma comunidade e preciso sair para trabalhar como posso reforçar a minha imunidade para me proteger da Covid-19?,covid
Como fazer a prevenção entre idosos que precisam de cuidados durante a pandemia de Covid-19?,covid
Como posso me proteger da Covid-19 ao pegar transporte público?,covid
Por que preciso me isolar se não faço parte do grupo de risco para a Covid-19?,covid
Como posso me prevenir da Covid-19 morando num lugar pequeno e com muitas pessoas que saem para trabalhar? Inverter as posições na cama ajuda?,covid
Moro com uma pessoa do grupo de risco. Como posso protegê-la da Covid-19?,covid
